Lister,Address,City,State,Zip,List_price,List_beds,List_bath,List_sqft,Url
USA LIFE MANAGEMENT CORP.,10187 Indian Summer Dr UNIT B,Rancho Cucamonga,CA,91730,479000,3 beds,3 bath,1339 sqft,https://www.zillow.com/homedetails/10187-Indian-Summer-Dr-UNIT-B-Rancho-Cucamonga-CA-91730/17298901_zpid/
DPP,10210 Baseline Rd SPACE 155,Rancho Cucamonga,CA,91701,199900,2 beds,2 baths,1400 sqft,https://www.zillow.com/homedetails/10210-Baseline-Rd-SPACE-155-Rancho-Cucamonga-CA-91701/64755497_zpid/
MOVOTO,10440 Pepper St,Rancho Cucamonga,CA,91730,767000,4 beds,2 baths,"1,710 sqft",https://www.movoto.com/rancho-cucamonga-ca/10440-pepper-st-rancho-cucamonga-ca-91730/pid_x3ivjgb48g/for-sale/
PREMIER REALTY GROUP SERVICES,10655 Lemon Ave APT 103,Rancho Cucamonga,CA,91737,430000,2 beds,2 bath,983 sqft,https://www.zillow.com/homedetails/10655-Lemon-Ave-APT-103-Rancho-Cucamonga-CA-91737/64445947_zpid/
COLDWELL BANKER RESIDENTIAL BR,10655 Lemon Ave APT 2906,Rancho Cucamonga,CA,91737,350000,1 beds,1 bath,728 sqft,https://www.zillow.com/homedetails/10655-Lemon-Ave-APT-2906-Rancho-Cucamonga-CA-91737/64485638_zpid/
CENTURY 21 CITRUS REALTY INC,10827 Carriage Dr,Rancho Cucamonga,CA,91737,2280000,5 beds,5 bath,4504 sqft,https://www.zillow.com/homedetails/10827-Carriage-Dr-Rancho-Cucamonga-CA-91737/17594841_zpid/
"ALTA REALTY GROUP CA, INC",11107 Delaware St,Rancho Cucamonga,CA,91701,775000,3 beds,3 bath,1550 sqft,https://www.zillow.com/homedetails/11107-Delaware-St-Rancho-Cucamonga-CA-91701/17598486_zpid/
RE/MAX EMPIRE PROPERTIES,4980 Ambleside Pl,Rancho Cucamonga,CA,91739,1999000,5 beds,6 bath,4273 sqft,https://www.zillow.com/homedetails/4980-Ambleside-Pl-Etiwanda-CA-91739/122898058_zpid/
MOVOTO,5216 Flora Ct,Rancho Cucamonga,CA,91739,1298400,5 beds,4 baths,"3,560 sqft",https://www.movoto.com/rancho-cucamonga-ca/5216-flora-ct-rancho-cucamonga-ca-91739-202_i07149253/for-sale/
MB PROPERTIES & INVESTMENTS,5520 Lane,Rancho Cucamonga,CA,91737,79900,1 beds,1 baths,267 sqft,https://www.zillow.com/homedetails/5520-Lane-Rancho-Cucamonga-CA-91737/2066420654_zpid/
MOVOTO,5864 Greyville Pl,Rancho Cucamonga,CA,91739,1350000,5 beds,3 baths,"3,372 sqft",https://www.movoto.com/rancho-cucamonga-ca/5864-greyville-pl-rancho-cucamonga-ca-91739-202_i11044918/for-sale/
ROYAL HOMES & LOANS,6370 Terracina Ave,Rancho Cucamonga,CA,91737,808000,3 beds,2 bath,1715 sqft,https://www.zillow.com/homedetails/6370-Terracina-Ave-Rancho-Cucamonga-CA-91737/17287854_zpid/
MAINSTREET REALTORS,7055 Avenida Leon St,Rancho Cucamonga,CA,91701,699900,3 beds,2 bath,1627 sqft,https://www.zillow.com/homedetails/7055-Avenida-Leon-St-Rancho-Cucamonga-CA-91701/2064156192_zpid/
REDFIN,7331 Shelby Pl #47,Rancho Cucamonga,CA,91739,599995,3 beds,2.5 baths,"1,549 sqft",https://www.redfin.com/CA/Rancho-Cucamonga/7331-Shelby-Pl-91739/unit-47/home/167417085
RE/MAX VISION,7432 Hollaway Rd,Rancho Cucamonga,CA,91730,808000,4 beds,3 bath,2005 sqft,https://www.zillow.com/homedetails/7432-Hollaway-Rd-Rancho-Cucamonga-CA-91730/17313003_zpid/
MOVOTO,7545 Oakford Ct,Rancho Cucamonga,CA,91739,958000,5 beds,3 baths,"3,100 sqft",https://www.movoto.com/rancho-cucamonga-ca/7545-oakford-ct-rancho-cucamonga-ca-91739-202_i615659/for-sale/
MOVOTO,7729 Hess Pl #U2,Rancho Cucamonga,CA,91739,619000,3 beds,3 baths,"1,508 sqft",https://www.movoto.com/rancho-cucamonga-ca/7729-hess-pl-u2-rancho-cucamonga-ca-91739/pid_dyrzjgb48g/for-sale/
REDFIN,7729 Hess Pl Unit U2,Rancho Cucamonga,CA,91739,619000,3 beds,2.5 baths,"1,508 sqft",https://www.redfin.com/CA/Rancho-Cucamonga/7729-Hess-Pl-91739/unit-U2/home/4294771
REALTY ONE GROUP EMPIRE,8359 Hawthorne St,Rancho Cucamonga,CA,91701,700000,4 beds,3 bath,2000 sqft,https://www.zillow.com/homedetails/8359-Hawthorne-St-Alta-Loma-CA-91701/17290191_zpid/
REAL ESTATE HOUND,8389 Lion St,Rancho Cucamonga,CA,91730,699000,4 beds,2 bath,1426 sqft,https://www.zillow.com/homedetails/8389-Lion-St-Rancho-Cucamonga-CA-91730/17298656_zpid/
"WILLIAM JOHNSON, BROKER",8560 Beechwood Dr,Rancho Cucamonga,CA,91701,1300000,4 beds,3 bath,2075 sqft,https://www.zillow.com/homedetails/8560-Beechwood-Dr-Alta-Loma-CA-91701/17590740_zpid/
"OFFERPAD BROKERAGE CA, INC.",9340 Foothill Blvd TRAILER 23,Rancho Cucamonga,CA,91730,239999,3 beds,2 bath,960 sqft,https://www.zillow.com/homedetails/9340-Foothill-Blvd-TRAILER-23-Rancho-Cucamonga-CA-91730/82908925_zpid/
BERKSHIRE HATH HM SVCS CA PROP,9806 Hibiscus Ct,Rancho Cucamonga,CA,91737,719900,3 beds,2 bath,1433 sqft,https://www.zillow.com/homedetails/9806-Hibiscus-Ct-Rancho-Cucamonga-CA-91737/17288925_zpid/
EXCELLENCE PREMIER REAL ESTATE,9999 Foothill Blvd SPACE 20,Rancho Cucamonga,CA,91730,99000,3 beds,2 baths,1344 sqft,https://www.zillow.com/homedetails/9999-Foothill-Blvd-SPACE-20-Rancho-Cucamonga-CA-91730/82916012_zpid/
RE/MAX MASTERS REALTY,10043 Norwick St,Rancho Cucamonga,CA,91730,680000,3 beds,2 bath,1552 sqft,https://www.zillow.com/homedetails/10043-Norwick-St-Rancho-Cucamonga-CA-91730/17600835_zpid/
DPP,10210 Base Line Rd #139,Rancho Cucamonga,CA,91701,145000,2 beds,2 bath,1536 sqft,https://www.zillow.com/homedetails/10210-Base-Line-Rd-139-Rancho-Cucamonga-CA-91701/2063214436_zpid/
LEXINGTON REALTY,10549 Deer Canyon Dr,Rancho Cucamonga,CA,91737,1800000,4 beds,4 bath,4364 sqft,https://www.zillow.com/homedetails/10549-Deer-Canyon-Dr-Rancho-Cucamonga-CA-91737/17594471_zpid/
BERKSHIRE HATH HM SVCS CA PROP,10571 Shady Lane Ct,Rancho Cucamonga,CA,91737,1850000,4 beds,5 bath,4473 sqft,https://www.zillow.com/homedetails/10571-Shady-Lane-Ct-Rancho-Cucamonga-CA-91737/72700096_zpid/
CENTURY 21 PRIMETIME REALTORS,11397 Genova Rd,Rancho Cucamonga,CA,91701,830000,4 beds,3 bath,2039 sqft,https://www.zillow.com/homedetails/11397-Genova-Rd-Rancho-Cucamonga-CA-91701/59197643_zpid/
RE/MAX MASTERS REALTY,11817 Bunker Hill Dr,Rancho Cucamonga,CA,91730,875000,4 beds,3 bath,2684 sqft,https://www.zillow.com/homedetails/11817-Bunker-Hill-Dr-Rancho-Cucamonga-CA-91730/61650158_zpid/
REALTY MASTERS & ASSOCIATES,12248 Canyon Meadows Dr,Rancho Cucamonga,CA,91739,998000,5 beds,3 bath,2836 sqft,https://www.zillow.com/homedetails/12248-Canyon-Meadows-Dr-Etiwanda-CA-91739/61682988_zpid/
KELLER WILLIAMS EMPIRE ESTATES,12850 Tilden Dr,Rancho Cucamonga,CA,91739,988888,4 beds,3 bath,2992 sqft,https://www.zillow.com/homedetails/12850-Tilden-Dr-Rancho-Cucamonga-CA-91739/59200071_zpid/
DYNASTY REAL ESTATE,13127 Malvasia Way,Rancho Cucamonga,CA,91739,769900,3 beds,2 bath,1748 sqft,https://www.zillow.com/homedetails/13127-Malvasia-Way-Rancho-Cucamonga-CA-91739/61685092_zpid/
EHOMES,14108 Arcadia Way,Rancho Cucamonga,CA,91739,899900,4 beds,2 bath,2193 sqft,https://www.zillow.com/homedetails/14108-Arcadia-Way-Rancho-Cucamonga-CA-91739/17310210_zpid/
THE SKYE GROUP INC.,14135 Regina Dr,Rancho Cucamonga,CA,91739,1100000,5 beds,3 baths,3500 sqft,https://www.zillow.com/homedetails/14135-Regina-Dr-Rancho-Cucamonga-CA-91739/17311993_zpid/
CENTURY 21 LOIS LAUER REALTY,6003 Falling Tree Ln,Rancho Cucamonga,CA,91737,1300000,5 beds,3 bath,3057 sqft,https://www.zillow.com/homedetails/6003-Falling-Tree-Ln-Rancho-Cucamonga-CA-91737/17591885_zpid/
EXP REALTY OF CALIFORNIA INC,6121 Hilltop Ct,Rancho Cucamonga,CA,91737,800000,4 beds,2 bath,1982 sqft,https://www.zillow.com/homedetails/6121-Hilltop-Ct-Rancho-Cucamonga-CA-91737/17308878_zpid/
SOUTHLAND PROPERTIES,6944 London Ave,Rancho Cucamonga,CA,91701,765000,4 beds,2 bath,1594 sqft,https://www.zillow.com/homedetails/6944-London-Ave-Rancho-Cucamonga-CA-91701/17595752_zpid/
BERKSHIRE HATH HM SVCS CA PROP,7063 Larkspur Pl,Rancho Cucamonga,CA,91739,589990,3 beds,2 baths,949 sqft,https://www.zillow.com/homedetails/7063-Larkspur-Pl-Rancho-Cucamonga-CA-91739/59199775_zpid/
COMPASS,7131 Aloe Ct,Rancho Cucamonga,CA,91739,895000,3 beds,3 bath,2805 sqft,https://www.zillow.com/homedetails/7131-Aloe-Ct-Rancho-Cucamonga-CA-91739/53061899_zpid/
COLDWELL BANKER BLACKSTONE RTY,7570 Dartmouth Ave,Rancho Cucamonga,CA,91730,630000,3 beds,2 bath,1302 sqft,https://www.zillow.com/homedetails/7570-Dartmouth-Ave-Rancho-Cucamonga-CA-91730/17600330_zpid/
KELLER WILLIAMS SIGNATURE,7604 Duck Creek Pl,Rancho Cucamonga,CA,91739,898000,4 beds,3 baths,2717 sqft,https://www.zillow.com/homedetails/7604-Duck-Creek-Pl-Rancho-Cucamonga-CA-91739/63121092_zpid/
HERITAGE REALTY,7730 Cardiff Pl,Rancho Cucamonga,CA,91730,665000,3 beds,2 bath,1186 sqft,https://www.zillow.com/homedetails/7730-Cardiff-Pl-Rancho-Cucamonga-CA-91730/17601927_zpid/
COLDWELL BANKER REALTY,9616 Norbrook Dr,Rancho Cucamonga,CA,91737,2400000,5 beds,7 baths,5809 sqft,https://www.zillow.com/homedetails/9616-Norbrook-Dr-Rancho-Cucamonga-CA-91737/69009744_zpid/
BERKSHIRE HATH HM SVCS CA PROP,9996 Hemlock St,Rancho Cucamonga,CA,91730,670000,4 beds,2 bath,1761 sqft,https://www.zillow.com/homedetails/9996-Hemlock-St-Rancho-Cucamonga-CA-91730/17600928_zpid/
